"תוצאות חיפוש קרנות נאמנות (סה""כ 1437 קרנות)",,,,,,,,,,,,,,,,,,,,,,,,,,
 31/07/2018 ***,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
שם,מעמד מס*,"מס' ני""ע",קוד **,פרופיל חשיפה,סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מחיר קניה,מחיר פדיון,שינוי מיום קודם (%),תאריך עדכון אחרון של שערים ותשואות,"קרן קפ""מ אומדן תשואה שנתית","קרן קפ""מ תאריך נכונות****",מדיניות דיבידנד,תשואה מתחילת החודש (%),תשואה מתחילת השנה (%),תשואה 12 חודשים (%),סטיית תקן (26 שבועות),יח' הקרן מוצעות בימים,"שווי נכסים (מליוני ש""ח)",שיעור הוספה (%),דמי ניהול (%),דמי נאמנות (%),סיווג עמלת הפצה,שם המנהל,שם נאמן
איביאי 4A תאLOW VOL DIV,פטורה,5124755,,4A,מניות בארץ,מדד מניות,"ת""א 125",100.43,100.43,0.22,31/07/2018,,,לא מתחייבת לחלק תשלומים,1.03,-3.54,4.05,1.8,,19.5,0,0.8,0.03,לא נגבית עמלת הפצה,אי.בי.אי. ניהול קרנות נאמנות,"יובנק חברה לנאמנות בע""מ"
"אלומות 4B מניות ת""א 125",פטורה,5101068,,4B,מניות בארץ,מדד מניות,"ת""א 125",148.58,148.58,0.22,31/07/2018,,,לא מתחייבת לחלק תשלומים,2.43,-0.15,8.31,2.03,א'-ה',10.7,0,1.35,0.07,0.35%,"אלומות ניהול קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
"אלטשולר 4A ת""א 125",פטורה,5122080,,4A,מניות בארץ,מדד מניות,"ת""א 125",116.66,116.66,0.14,31/07/2018,,,לא מתחייבת לחלק תשלומים,1.05,-2.39,2.13,1.69,א'-ה',23.1,0,1.95,0.04,0.35%,"אלטשולר-שחם ניהול קרנות נאמנות בע""מ","מזרחי טפחות חברה לנאמנות בע""מ"
אנליסט מניות ישראל,פטורה,5101258,,4B,מניות בארץ,מדד מניות,"ת""א 125",289.54,289.54,-0.16,31/07/2018,,,לא מתחייבת לחלק תשלומים,2,1.33,7.56,1.43,א'-ה',88.2,0,1.4,0.04,0.35%,"אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע""מ","מזרחי טפחות חברה לנאמנות בע""מ"
אנליסט מניות ממוקדת 4B,פטורה,5115027,,4B,מניות בארץ,מדד מניות,"ת""א 125",114.34,114.34,-0.1,31/07/2018,,,לא מתחייבת לחלק תשלומים,2.05,0.11,0.03,1.53,א'-ה',38.5,0,2.13,0.04,0.35%,"אנליסט אי.אמ.אס ניהול קרנות בנאמנות (1986) בע""מ","מזרחי טפחות חברה לנאמנות בע""מ"
"אקסיומה 4B מניות ת""א 125",פטורה,5108865,,4B,מניות בארץ,מדד מניות,"ת""א 125",169.16,169.16,0.19,31/07/2018,,,לא מתחייבת לחלק תשלומים,3.2,2.63,11.02,1.94,א'-ה',24.7,0,1.38,0.07,0.35%,"אלומות ניהול קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
דיאמונד 4A מניות ישראל,פטורה,5116736,,4A,מניות בארץ,מדד מניות,"ת""א 125",90.31,90.31,-0.2,31/07/2018,,,לא מתחייבת לחלק תשלומים,,,,,א'-ה',3.9,0,1.95,0.1,0.35%,"איילון קרנות נאמנות בע""מ","חברה לנאמנות של בנק אגוד בע""מ"
דיביאם 4A אחז בעלי ענין,פטורה,5104799,,4A,מניות בארץ,מדד מניות,"ת""א 125",164.37,164.37,-0.01,31/07/2018,,,לא מתחייבת לחלק תשלומים,0.06,-4.78,-2.13,2.03,א'-ה',10.6,0,1.94,0.06,0.35%,"מגדל קרנות נאמנות בע""מ","יובנק חברה לנאמנות בע""מ"
הראל 4A אנדקס מנ ישראל100,פטורה,5125315,,4A,מניות בארץ,מדד מניות,"ת""א 125",98.25,98.25,0.15,31/07/2018,,,לא מתחייבת לחלק תשלומים,0.52,-4.67,,1.87,,13.6,0,0.75,0.02,לא נגבית עמלת הפצה,"הראל-פיא קרנות נאמנות בע""מ","פי דאבליו סי חברה לנאמנויות (1971) בע""מ"
"הראל 4A מחקה ת""א 125",פטורה,5122510,,4A,מניות בארץ,מדד מניות,"ת""א 125",108.37,108.37,0.07,31/07/2018,,,לא מתחייבת לחלק תשלומים,3.33,3.19,9.06,1.85,א'-ה',46.6,0,0,0.03,לא נגבית עמלת הפצה,"הראל-פיא קרנות נאמנות בע""מ","מזרחי טפחות חברה לנאמנות בע""מ"
